name,review,rating,date
rohit Boliwal,"The best place in town, Waffle n vibe has always been my favourite in terms of waffle , coffee ,ambience and service as well. I just love being here every time, I always have a good time with my friends and ofcourse while having the yummiest stuff….",,a year ago
kaushik vadodariya,Best waffle in motavaracha good taste,,3 months ago
dharmendra Parmar parmar,"Best waffle in town, very affordable range of coffee, waffle, cheesecake, and many more 😍 …",,7 months ago
Manav Bhungaliya,"Waffle n vibe is to good. food, service, atmosphere is soo soo good and that waffle is so delicious and waffle n vibe hade it’s to friendly and helpful",,8 months ago
organic artificial,"Now they have extended the menu I recommend to go with their new
Red tea
Yellow tea
Blue tea",,7 months ago
Parth Patel,Cafe is very good and affordable. The vibe is also good.,,6 months ago
5011 Prachi Chavda,"It was amazing. I've tried lot of waffle, but this is amazing, delicious 😋🤤 I love it.
""If you sad, eat waffle 🧇 …",,a year ago
Krina Barvaliya,Very nice in taste and service is the best one and here I order peach ice tea wow so nice taste and his work is good,,a year ago
Dr.Meera Rathod,I don’t like taste. Quality was not up to the mark.,,8 months ago
meet Patel,"Waffle is really good
Test is mind-blowing",,6 months ago
meet navadiya,Very nice good atmosphere,,a year ago
Riddhi J,Best waffle in the area and the coffee is great tooo 👍🏼 …,,a year ago
Lax Suhagiya,Food and service is to good,,a month ago
vatsal mayani,Best waffles and cheesee cack place,,a year ago
Hetvi Korat,🌸 this sweet place make my memories sweetest 😋 …,,a year ago
Krish Parmar,The food is mind blowing,,Edited 5 months ago
Krupali Khunt,"Best in low cost
- super Quality
Nominal rate
Positive vibe",,a year ago
Jaimin Rajgor,best place to hangout and deliver delicious food,,a year ago
Keyur Dodia,"Good place, good ambience, good food.",,9 months ago
Sharad Gohil,Best taste which i had ever tried🔥 …,,a year ago
Sanjana Patel,It was very good,,6 months ago
Parth Patel,Good 👍 …,,7 months ago
Nidhi Savaliya,Best test and best series,,9 months ago
Pratik Savaliya,Best coffees ever ❤️😍 …,,a year ago
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Dhruti Tamakuwala,Food is good,,5 months ago
Jiggi,Really amazing 😍 love it. …,,a year ago
Pankaj Gaudani,Great place for great waffles 😋😋 …,,a year ago
Jay Gajera,Berry Blast is lub here.❤️,,a year ago
D,"Best experience ever,",,10 months ago
Priya Movaliya,Delicious and lots of variety,,a year ago
Rushiraj Togadiya,Chumashvari cheesecake,,7 months ago
Jay Kumbhani,Test was amazing 😋 …,,a year ago
Prachi vaghani,Good,,6 months ago
yanish kukadiya,Quality of food 💯 …,,7 months ago
Akshay Pandya,Delicious 😋 …,,7 months ago
Om Khadela,Good quality 👍🏻 …,,a year ago
Jems Trivedi,Delicious test,,11 months ago
Darshanhirpara Official,Nice test 💯 …,,a year ago
Kriyu Dudhat,Good,,6 months ago
Yashvi Mavani,Actual vibe🤌🏼 …,,a year ago
Ramani Nikunj,best waffles in mota varacha 👌 …,,a year ago
Kintan Patel,,,a year ago
redkingyt,,,a year ago
Sneh Malani,,,2 months ago
zalavadiya amit,,,2 months ago
dobariya ayushi,,,2 months ago
Meet Satani,,,3 months ago
Yadav Chandrakant,,,3 months ago
mihir kachhadiya,,,4 months ago
Yash Patel,,,5 months ago
Ayushi Savani,,,6 months ago
Jeel Vaddoriya,,,6 months ago
BahuraniStudio,,,6 months ago
Mr been Singh,,,6 months ago
MEET PATEL,,,7 months ago
Deven,,,8 months ago
Vasani Hemil,,,9 months ago
Chaitanya Chavada,,,10 months ago
Moradiya Dhruv,,,10 months ago
Jenil Savaliya,,,11 months ago
Jiya Patel,,,a year ago
Manisha Patel,,,a year ago
Om Patel,,,a year ago
Palak Korat,,,a year ago
Juhi Patel,,,a year ago
Rajavi Dhanani,,,a year ago
Manish Lunagriya,,,a year ago
Jigna G,,,a year ago
Brijesh Mavani,,,a year ago
Nandani Akbari,,,a year ago
Kuldeep Vaishnav (KULDEEP RAJA),,,a year ago
Ravi Kacha,,,a year ago
Hinal Kathrotiya,,,a year ago
Vraj Mali,,,a year ago
Kruti Lakkad7777,,,a year ago
Padmani sarika,,,a year ago
Star Video Entertainment,,,a year ago
Taksh Vithalani,,,a year ago
pratik makwana,,,a year ago
Krish Savani,,,a year ago
Khushi Chauhan,,,a year ago
Bhasha Dalsaniya,,,a year ago
Nandan Patel,,,2 years ago
Dipali Vadhaiya,,,3 months ago
Akash Dobariya,,,4 months ago
Harshad Gangani,,,a year ago
Malisha B,,,a year ago
vrunda jhaveri,,,a year ago
Mayank Dhameliya,,,a year ago
